text,category,priority,sentiment,resolution_time
Facing issue There is late shipment for herbal capsules extremely upset,Trade,Low,-0.583,104
There is wrong billing for weight loss supplement need urgent help,Trade,Medium,0.0,40
Honestly herbal capsules packaging was damaged and vitamin tablets order not updated very disappointed this is not acceptable,Packaging,Medium,-0.545,30
"After using weight loss supplement, I faced allergy also I used herbal capsules and got stomach pain extremely upset",Product,Medium,-0.375,48
Very bad experience The box arrived broken and There is late shipment for weight loss supplement worst experience,Packaging,High,-0.737,10
Very bad experience This energy drink feels contaminated worst experience very bad service,Product,Medium,-0.643,29
Very bad experience herbal capsules packaging was crushed not happy please fix this very bad service,Packaging,Low,-0.286,67
Seal was already opened extremely upset,Packaging,Medium,-0.375,31
Very bad experience immunity booster is expired need urgent help very bad service,Product,High,-0.375,3
immunity booster is rotten but My order has delivery delay extremely upset need urgent help,Product,High,-0.5,8
I think immunity booster is expired because I got skin rash not happy,Product,Medium,0.167,22
Honestly The box arrived wet not happy,Packaging,Low,0.167,84
I need help I am facing late shipment because There is late shipment for vitamin tablets not good,Trade,Low,-0.286,70
My order has price confusion angry not good,Trade,Low,-0.444,120
Facing issue The box arrived already opened because I am facing no stock angry please fix this very bad service,Packaging,Medium,-0.643,40
"I need help After using herbal capsules, I faced nausea also There is order not updated for immunity booster reply fast",Product,Low,0.0,110
I need help Seal was seal missing,Packaging,Low,0.0,111
"I need help After using immunity booster, I faced dizziness even After using weight loss supplement, I faced skin rash not good",Product,Medium,0.0,43
Very bad experience I am facing late shipment plus Packaging is completely crushed not happy,Trade,Medium,-0.444,19
"No issues, product is perfect",Trade,Low,0.375,74
Packaging is completely broken,Packaging,Low,-0.375,58
Seal was crushed plus My order has order not updated extremely upset pls help asap,Packaging,Low,-0.375,52
Facing issue energy drink is fake very disappointed please fix this,Product,Medium,-0.643,19
Very bad experience This vitamin tablets feels contaminated extremely upset,Product,Medium,-0.545,32
This herbal capsules feels fake even I used protein powder and got burning sensation extremely upset,Product,Medium,-0.583,22
This is to inform you Received energy drink in wet condition angry very bad service,Packaging,Low,-0.583,61
I am happy with the product,Packaging,Low,0.444,73
I am facing no stock this is not acceptable,Trade,Low,0.0,92
"Very bad experience After using energy drink, I faced dizziness and protein powder order not updated extremely upset not good",Product,Medium,-0.545,21
Delivery was fast and smooth,Packaging,Low,0.375,68
This is to inform you No response about price confusion extremely upset,Trade,Low,-0.375,104
This is to inform you No response about delivery delay angry need urgent help urgent,Trade,Medium,-0.545,16
Honestly herbal capsules order not updated also Received vitamin tablets in damaged condition kindly resolve,Trade,Low,-0.375,62
Good packaging and good quality,Product,Low,0.375,73
Nice experience overall,Packaging,Low,0.375,96
Facing issue Packaging is completely seal missing because No response about order not updated frustrated please fix this,Packaging,Medium,-0.5,13
This is to inform you weight loss supplement order not updated,Trade,Low,0.0,59
There is delivery delay for energy drink also Packaging is completely crushed please fix this,Trade,Medium,-0.286,27
I need help vitamin tablets is expired because I am facing order not updated not happy,Product,Medium,0.167,47
Everything is working fine,Packaging,Low,0.0,104
"No issues, product is perfect",Packaging,Low,0.375,50
"After using vitamin tablets, I faced skin rash respond fast",Product,Low,0.0,60
Very bad experience I used immunity booster and got dizziness because This weight loss supplement feels not fresh worst experience kindly resolve not good,Product,Medium,-0.643,21
This is to inform you This weight loss supplement feels tastes bad even I think herbal capsules is rotten because I got burning sensation extremely upset  very bad service,Product,Medium,-0.545,22
This is to inform you There is price confusion for herbal capsules respond fast,Trade,Medium,0.0,46
I want to complain There is wrong billing for herbal capsules plus Received immunity booster in broken condition,Trade,Low,-0.375,54
Very bad experience Seal was seal missing frustrated not good,Packaging,Low,-0.545,104
Facing issue Seal was leaking angry this is not acceptable,Packaging,Medium,-0.545,24
I used herbal capsules and got nausea because I think herbal capsules is rotten because I got vomiting frustrated,Product,High,-0.375,3
I think energy drink is fake because I got headache frustrated,Product,Medium,-0.583,32
Nice experience overall,Trade,Low,0.375,85
immunity booster order not updated but My order has price confusion not happy not good,Trade,Low,0.444,99
This is to inform you Packaging is completely broken so This weight loss supplement feels fake worst experience,Packaging,High,-0.722,10
Very bad experience vitamin tablets order not updated not happy,Trade,Low,-0.286,62
Seal was crushed,Packaging,Low,0.0,109
herbal capsules order not updated plus Seal was already opened very disappointed,Trade,Medium,-0.375,17
I want to complain vitamin tablets packaging was broken and No response about price confusion very disappointed please fix this,Packaging,Medium,-0.545,37
energy drink is fake pls help asap,Product,High,-0.444,9
I am happy with the product,Packaging,Low,0.444,48
This herbal capsules feels rotten extremely upset,Product,Medium,-0.375,20
This is to inform you Received energy drink in seal missing condition,Packaging,Medium,0.0,32
Facing issue immunity booster order not updated not happy kindly resolve,Trade,Low,-0.167,110
I need help There is no stock for vitamin tablets very disappointed this is not acceptable,Trade,Low,-0.375,102
"No issues, product is perfect",Packaging,Low,0.375,60
There is order not updated for vitamin tablets angry,Trade,Low,-0.444,88
Facing issue Packaging is completely broken kindly resolve urgent,Packaging,Medium,-0.583,25
immunity booster order not updated frustrated this is not acceptable very bad service,Trade,Low,-0.545,54
My order has no stock even Seal was damaged urgent,Trade,Medium,-0.375,39
I am facing order not updated extremely upset kindly resolve pls help asap,Trade,Medium,-0.375,16
Very bad experience No response about delivery delay even weight loss supplement is not fresh,Trade,Low,-0.5,83
immunity booster order not updated frustrated please fix this,Trade,Low,-0.375,102
Nice experience overall,Trade,Low,0.375,109
weight loss supplement packaging was broken even Packaging is completely wet very disappointed  urgent,Packaging,Medium,-0.545,46
Facing issue I am facing no stock also immunity booster is not fresh worst experience respond fast,Trade,Medium,-0.615,46
"After using weight loss supplement, I faced allergy frustrated",Product,Medium,-0.375,35
I used protein powder and got dizziness very disappointed kindly resolve,Product,Medium,-0.375,13
This is to inform you No response about wrong billing please fix this,Trade,Low,0.0,110
"Very bad experience After using protein powder, I faced headache but I am facing no stock worst experience",Product,Low,-0.643,90
I want to complain My order has order not updated even My order has late shipment,Trade,Low,-0.286,113
No response about delivery delay kindly resolve very bad service,Trade,Low,-0.5,73
I need help I am facing order not updated also No response about order not updated extremely upset,Trade,Low,-0.375,68
Facing issue No response about wrong billing but My order has no stock frustrated,Trade,Low,-0.5,107
"After using weight loss supplement, I faced vomiting frustrated pls help asap",Product,High,-0.375,5
"Received protein powder in already opened condition but After using immunity booster, I faced vomiting frustrated this is not acceptable",Packaging,High,-0.375,4
Honestly My order has late shipment plus Received vitamin tablets in damaged condition,Trade,Medium,-0.5,26
Facing issue This vitamin tablets feels fake frustrated,Product,Medium,-0.643,41
Facing issue protein powder packaging was leaking frustrated this is not acceptable very bad service,Packaging,Medium,-0.615,18
I want to complain I used vitamin tablets and got headache extremely upset reply fast,Product,Low,-0.375,113
Facing issue This protein powder feels tastes bad angry,Product,Low,-0.643,97
This is to inform you My order has delivery delay worst experience please fix this,Trade,Medium,-0.615,28
Facing issue My order has order not updated plus immunity booster order not updated,Trade,Low,-0.286,77
Everything is working fine,Product,Low,0.0,64
Product quality is very good,Product,Low,0.375,117
Product quality is very good,Trade,Low,0.375,109
Received protein powder in torn condition please fix this,Packaging,Low,0.0,56
Delivery was fast and smooth,Product,Low,0.375,58
Product quality is very good,Product,Low,0.375,68
Honestly Packaging is completely torn and I used weight loss supplement and got headache worst experience please fix this,Packaging,Low,-0.545,82
Delivery was fast and smooth,Product,Low,0.375,103
This is to inform you This immunity booster feels contaminated but herbal capsules order not updated very disappointed,Product,Medium,-0.375,43
Good packaging and good quality,Product,Low,0.375,52
I want to complain I am facing late shipment this is not acceptable,Trade,Medium,-0.286,24
Honestly There is no stock for herbal capsules because protein powder is expired not happy this is not acceptable very bad service,Trade,Medium,-0.286,36
Very bad experience I used herbal capsules and got burning sensation also There is wrong billing for vitamin tablets angry,Product,Low,-0.583,94
This is to inform you There is no stock for protein powder but No response about order not updated this is not acceptable,Trade,Low,0.0,101
This is to inform you I think vitamin tablets is expired because I got dizziness so My order has delivery delay not happy need urgent help,Product,High,-0.167,9
Very bad experience Received protein powder in already opened condition so I am facing no stock,Packaging,Medium,-0.375,22
Very bad experience This protein powder feels not fresh even Packaging is completely wet kindly resolve not good,Product,Low,-0.375,70
herbal capsules is rotten so My order has late shipment very disappointed reply fast,Product,High,-0.5,4
Delivery was fast and smooth,Product,Low,0.375,113
This is to inform you I used herbal capsules and got headache,Product,Low,0.0,112
This is to inform you Seal was already opened even I am facing wrong billing frustrated respond fast,Packaging,Medium,-0.375,43
Everything is working fine,Packaging,Low,0.0,115
I need help protein powder is smells weird,Product,Low,0.0,57
Honestly Seal was wet and My order has late shipment urgent,Packaging,Medium,-0.286,43
My order has no stock angry,Trade,Medium,-0.444,28
Product quality is very good,Product,Low,0.375,116
Facing issue This herbal capsules feels expired but There is delivery delay for herbal capsules very disappointed,Product,High,-0.643,8
Very bad experience Received weight loss supplement in crushed condition also The box arrived crushed frustrated,Packaging,Low,-0.545,78
Everything is working fine,Trade,Low,0.0,102
I need help protein powder order not updated very disappointed,Trade,Low,-0.375,74
No response about delivery delay even weight loss supplement is low quality extremely upset pls help asap,Trade,High,-0.5,3
No response about late shipment very disappointed,Trade,Low,-0.5,64
herbal capsules packaging was seal missing but This herbal capsules feels smells weird this is not acceptable,Packaging,Medium,0.0,48
This is to inform you I think protein powder is contaminated because I got headache plus protein powder packaging was already opened extremely upset very bad service,Product,High,-0.545,6
Very satisfied with service,Packaging,Low,0.444,107
I need help Received protein powder in damaged condition not happy please fix this not good,Packaging,Low,0.167,60
I want to complain I used energy drink and got allergy urgent,Product,High,0.0,8
I need help Received weight loss supplement in damaged condition and I used weight loss supplement and got nausea respond fast not good,Packaging,Medium,-0.375,26
The box arrived leaking because immunity booster is not fresh kindly resolve urgent,Packaging,Medium,0.0,20
Honestly No response about wrong billing plus No response about price confusion urgent,Trade,Medium,0.0,46
There is order not updated for energy drink also I used protein powder and got stomach pain respond fast pls help asap,Trade,Medium,0.0,44
herbal capsules order not updated not happy,Trade,Low,0.167,78
This is to inform you There is delivery delay for energy drink even This weight loss supplement feels rotten angry respond fast urgent,Trade,High,-0.545,6
energy drink packaging was leaking this is not acceptable,Packaging,Low,0.0,54
Honestly vitamin tablets is tastes bad,Product,Low,-0.375,106
"Honestly After using herbal capsules, I faced stomach pain worst experience  very bad service",Product,Low,-0.643,87
I used protein powder and got headache frustrated,Product,Low,-0.375,117
Product quality is very good,Product,Low,0.375,57
My order has delivery delay respond fast urgent,Trade,High,-0.286,10
This vitamin tablets feels fake very disappointed,Product,Medium,-0.583,46
This is to inform you I am facing no stock also energy drink order not updated extremely upset kindly resolve urgent,Trade,Medium,-0.375,12
Good packaging and good quality,Product,Low,0.375,82
Honestly Received energy drink in leaking condition because Received vitamin tablets in leaking condition not happy kindly resolve,Packaging,Medium,0.167,40
No response about late shipment not happy,Trade,Medium,-0.167,24
Product quality is very good,Packaging,Low,0.375,97
"After using herbal capsules, I faced stomach pain and Received immunity booster in torn condition respond fast reply fast",Product,Low,0.0,92
This is to inform you Seal was torn extremely upset,Packaging,Low,-0.375,71
My order has price confusion frustrated  pls help asap,Trade,Medium,-0.375,16
Facing issue I used energy drink and got stomach pain not happy this is not acceptable,Product,Low,-0.167,65
energy drink order not updated extremely upset,Trade,Low,-0.375,107
Honestly Received protein powder in damaged condition angry please fix this very bad service,Packaging,Medium,-0.667,40
Very bad experience No response about no stock frustrated,Trade,Low,-0.545,91
I think vitamin tablets is contaminated because I got skin rash worst experience,Product,Medium,-0.545,27
This weight loss supplement feels tastes bad even I used vitamin tablets and got burning sensation not happy,Product,Low,-0.286,58
Seal was seal missing angry this is not acceptable not good,Packaging,Medium,-0.444,39
Seal was torn urgent,Packaging,Medium,0.0,23
Facing issue energy drink packaging was torn extremely upset,Packaging,Low,-0.5,75
Facing issue Received vitamin tablets in seal missing condition plus Received weight loss supplement in leaking condition worst experience,Packaging,High,-0.615,8
I want to complain The box arrived broken also I think immunity booster is smells weird because I got vomiting worst experience,Packaging,High,-0.643,6
Very bad experience I am facing price confusion because There is delivery delay for protein powder reply fast,Trade,Medium,-0.5,19
Facing issue The box arrived crushed because I think weight loss supplement is contaminated because I got skin rash frustrated,Packaging,Medium,-0.5,35
Packaging is completely damaged plus This immunity booster feels not fresh extremely upset need urgent help,Packaging,Medium,-0.545,20
Facing issue I used protein powder and got burning sensation urgent,Product,Medium,-0.286,40
"After using vitamin tablets, I faced skin rash angry respond fast",Product,Medium,-0.444,34
This is to inform you No response about order not updated also There is late shipment for protein powder please fix this,Trade,Medium,-0.286,30
Everything is working fine,Packaging,Low,0.0,76
Very bad experience I am facing order not updated even No response about order not updated worst experience need urgent help not good,Trade,Medium,-0.643,32
Honestly energy drink order not updated so Received protein powder in leaking condition very disappointed,Trade,Medium,-0.375,37
I need help My order has no stock also There is wrong billing for vitamin tablets not happy,Trade,Low,0.167,120
Packaging is completely damaged so Packaging is completely seal missing kindly resolve,Packaging,Medium,-0.375,18
Everything is working fine,Packaging,Low,0.0,98
Facing issue There is late shipment for energy drink because herbal capsules is low quality extremely upset,Trade,High,-0.583,10
"Very bad experience After using protein powder, I faced stomach pain because I used vitamin tablets and got vomiting pls help asap",Product,High,-0.375,6
Very satisfied with service,Product,Low,0.444,68
I think vitamin tablets is low quality because I got nausea not happy kindly resolve pls help asap,Product,Medium,0.167,35
"This is to inform you herbal capsules is tastes bad plus After using vitamin tablets, I faced stomach pain respond fast",Product,Medium,-0.375,20
Very bad experience protein powder is contaminated extremely upset very bad service,Product,Medium,-0.545,47
No response about late shipment also My order has no stock,Trade,Medium,-0.286,46
I need help Packaging is completely already opened kindly resolve,Packaging,Medium,0.0,32
Everything is working fine,Packaging,Low,0.0,72
Seal was seal missing worst experience,Packaging,Medium,-0.545,45
I want to complain Packaging is completely already opened worst experience,Packaging,Medium,-0.545,15
immunity booster order not updated extremely upset please fix this,Trade,Low,-0.375,56
Very bad experience The box arrived crushed plus vitamin tablets packaging was leaking,Packaging,Low,-0.375,68
Good packaging and good quality,Packaging,Low,0.375,64
No response about wrong billing urgent,Trade,Medium,0.0,29
Very satisfied with service,Packaging,Low,0.444,97
"After using herbal capsules, I faced skin rash frustrated",Product,Low,-0.375,79
"Honestly I think energy drink is smells weird because I got dizziness because After using energy drink, I faced burning sensation angry",Product,Medium,-0.444,36
Good packaging and good quality,Packaging,Low,0.375,93
I think weight loss supplement is smells weird because I got nausea this is not acceptable,Product,Low,0.0,88
Facing issue Packaging is completely torn plus No response about no stock extremely upset,Packaging,Low,-0.5,109
I need help Seal was leaking so weight loss supplement packaging was seal missing angry reply fast,Packaging,High,-0.444,5
I need help No response about no stock this is not acceptable,Trade,Low,0.0,66
I am facing price confusion plus I used herbal capsules and got skin rash extremely upset need urgent help very bad service,Trade,Medium,-0.545,20
This immunity booster feels low quality not happy not good,Product,Medium,0.444,25
Nice experience overall,Product,Low,0.375,114
"After using immunity booster, I faced nausea even No response about late shipment very disappointed please fix this",Product,Low,-0.5,57
"Facing issue After using energy drink, I faced burning sensation very bad service",Product,Low,-0.5,58
Good packaging and good quality,Packaging,Low,0.375,83
Received herbal capsules in torn condition not happy,Packaging,Low,0.167,65
Facing issue This vitamin tablets feels contaminated also I used herbal capsules and got stomach pain worst experience respond fast,Product,High,-0.615,3
Honestly This herbal capsules feels rotten because weight loss supplement is not fresh,Product,Medium,0.0,16
I want to complain I think protein powder is fake because I got vomiting but protein powder is contaminated,Product,High,-0.444,3
Everything is working fine,Product,Low,0.0,97
"I want to complain After using herbal capsules, I faced burning sensation and My order has no stock not happy kindly resolve",Product,Low,0.167,89
protein powder order not updated also No response about order not updated frustrated,Trade,Low,-0.375,57
This energy drink feels rotten,Product,Medium,0.0,46
energy drink is not fresh but The box arrived leaking angry respond fast,Product,High,-0.444,8
Good packaging and good quality,Trade,Low,0.375,60
Facing issue There is no stock for energy drink kindly resolve,Trade,Low,-0.286,51
Very satisfied with service,Packaging,Low,0.444,86
I think vitamin tablets is low quality because I got burning sensation not good,Product,Low,0.0,73
Very bad experience This herbal capsules feels rotten also Received immunity booster in leaking condition not happy kindly resolve,Product,High,-0.286,7
I want to complain This energy drink feels smells weird very disappointed respond fast pls help asap,Product,Medium,-0.375,48
Very satisfied with service,Product,Low,0.444,60
I think protein powder is low quality because I got burning sensation not happy need urgent help,Product,Medium,0.167,45
This is to inform you Packaging is completely wet not happy respond fast very bad service,Packaging,Low,-0.286,91
Very satisfied with service,Trade,Low,0.444,83
Nice experience overall,Product,Low,0.375,103
"Facing issue weight loss supplement order not updated and After using vitamin tablets, I faced nausea angry",Trade,Low,-0.545,119
I need help Packaging is completely crushed even I used herbal capsules and got skin rash kindly resolve not good,Packaging,Low,0.0,89
Product quality is very good,Trade,Low,0.375,71
"After using herbal capsules, I faced vomiting because energy drink order not updated extremely upset urgent",Product,High,-0.375,8
Facing issue I am facing no stock but My order has wrong billing frustrated  urgent,Trade,Medium,-0.5,21
vitamin tablets packaging was crushed,Packaging,Low,0.0,48
This is to inform you My order has delivery delay angry this is not acceptable,Trade,Medium,-0.545,16
Received weight loss supplement in already opened condition very disappointed,Packaging,Low,-0.375,81
"After using herbal capsules, I faced allergy plus herbal capsules packaging was leaking frustrated kindly resolve urgent",Product,High,-0.375,8
Seal was leaking need urgent help not good,Packaging,Medium,0.0,26
This is to inform you This vitamin tablets feels contaminated because Packaging is completely seal missing very bad service,Product,High,-0.375,9
Seal was crushed,Packaging,Low,0.0,114
There is late shipment for vitamin tablets because protein powder order not updated not good,Trade,Medium,-0.286,21
I am happy with the product,Product,Low,0.444,119
I want to complain I am facing price confusion,Trade,Low,0.0,78
Honestly I think protein powder is tastes bad because I got headache but I am facing no stock not happy,Product,Low,-0.286,90
Honestly I think herbal capsules is fake because I got stomach pain plus My order has price confusion very disappointed not good,Product,Medium,-0.583,40
Facing issue Received weight loss supplement in seal missing condition need urgent help,Packaging,Medium,-0.286,33
There is no stock for energy drink plus Received energy drink in wet condition extremely upset please fix this,Trade,Low,-0.375,106
My order has late shipment angry urgent,Trade,High,-0.545,10
Product quality is very good,Product,Low,0.375,88
energy drink packaging was wet worst experience respond fast,Packaging,Medium,-0.545,29
I used energy drink and got vomiting not happy,Product,Medium,0.167,15
I need help There is delivery delay for herbal capsules because energy drink is fake angry need urgent help reply fast,Trade,High,-0.667,7
I need help No response about late shipment but There is order not updated for weight loss supplement not happy,Trade,Medium,-0.167,43
I need help The box arrived damaged angry very bad service,Packaging,Medium,-0.667,46
I want to complain Received energy drink in damaged condition,Packaging,Low,-0.375,119
I am happy with the product,Packaging,Low,0.444,59
I want to complain I used herbal capsules and got stomach pain this is not acceptable,Product,Low,0.0,76
Seal was leaking extremely upset,Packaging,Medium,-0.375,48
"Packaging is completely broken so After using herbal capsules, I faced burning sensation very disappointed",Packaging,Low,-0.545,62
This vitamin tablets feels contaminated but immunity booster order not updated frustrated kindly resolve,Product,Medium,-0.375,28
I want to complain I am facing delivery delay so My order has wrong billing angry reply fast,Trade,Medium,-0.545,32
I want to complain The box arrived broken  not good,Packaging,Medium,-0.375,24
I think weight loss supplement is tastes bad because I got skin rash so The box arrived already opened,Product,Medium,-0.375,30
No response about wrong billing please fix this,Trade,Low,0.0,62
Seal was seal missing,Packaging,Low,0.0,93
Very satisfied with service,Trade,Low,0.444,99
Product quality is very good,Trade,Low,0.375,56
"Very bad experience After using protein powder, I faced stomach pain because This vitamin tablets feels rotten",Product,Medium,-0.375,32
"No issues, product is perfect",Product,Low,0.375,81
Everything is working fine,Packaging,Low,0.0,56
Very bad experience I am facing price confusion but This protein powder feels contaminated,Trade,Medium,-0.375,24
"I need help After using herbal capsules, I faced vomiting but Packaging is completely seal missing",Product,High,0.0,8
I need help My order has late shipment frustrated,Trade,Low,-0.5,72
"No issues, product is perfect",Packaging,Low,0.375,68
Nice experience overall,Packaging,Low,0.375,110
The box arrived torn because There is delivery delay for vitamin tablets this is not acceptable,Packaging,Low,-0.286,48
weight loss supplement is not fresh urgent,Product,Medium,0.0,45
I want to complain Seal was already opened very disappointed,Packaging,Low,-0.375,68
Seal was broken because I used weight loss supplement and got headache this is not acceptable urgent,Packaging,Medium,-0.375,24
I want to complain My order has delivery delay because There is wrong billing for protein powder worst experience please fix this pls help asap,Trade,High,-0.615,10
Everything is working fine,Packaging,Low,0.0,92
immunity booster is tastes bad,Product,Low,-0.375,61
"This is to inform you After using vitamin tablets, I faced burning sensation plus Received weight loss supplement in wet condition pls help asap",Product,Medium,0.0,48
I need help Received energy drink in wet condition worst experience,Packaging,Low,-0.545,54
This is to inform you No response about delivery delay plus Seal was broken frustrated urgent,Trade,High,-0.667,10
This is to inform you weight loss supplement order not updated so Packaging is completely already opened,Trade,Medium,0.0,24
"After using energy drink, I faced dizziness plus immunity booster order not updated respond fast",Product,Medium,0.0,13
Good packaging and good quality,Product,Low,0.375,58
Facing issue vitamin tablets packaging was leaking but The box arrived already opened this is not acceptable reply fast,Packaging,High,-0.286,2
"immunity booster is fake because After using herbal capsules, I faced skin rash",Product,Medium,-0.444,32
I need help protein powder order not updated so I think energy drink is rotten because I got stomach pain respond fast,Trade,Medium,0.0,43
Seal was broken even vitamin tablets order not updated very disappointed need urgent help,Packaging,Medium,-0.545,40
herbal capsules is tastes bad even The box arrived broken,Product,Medium,-0.545,22
Good packaging and good quality,Packaging,Low,0.375,83
I am facing no stock extremely upset,Trade,Low,-0.375,84
Seal was already opened extremely upset,Packaging,Medium,-0.375,31
"No issues, product is perfect",Trade,Low,0.375,100
I am happy with the product,Trade,Low,0.444,98
Facing issue vitamin tablets order not updated angry please fix this,Trade,Low,-0.545,88
This is to inform you energy drink packaging was wet even This vitamin tablets feels rotten pls help asap,Packaging,Medium,0.0,35
"Honestly Seal was seal missing because After using herbal capsules, I faced allergy worst experience this is not acceptable",Packaging,High,-0.545,3
Very satisfied with service,Product,Low,0.444,90
Facing issue Packaging is completely already opened because vitamin tablets is expired frustrated,Packaging,High,-0.5,2
I want to complain weight loss supplement packaging was leaking worst experience please fix this,Packaging,Medium,-0.545,46
Facing issue Received vitamin tablets in torn condition and Received protein powder in leaking condition angry need urgent help,Packaging,High,-0.545,9
The box arrived wet very disappointed please fix this,Packaging,Low,-0.375,90
My order has price confusion also I am facing delivery delay not happy please fix this urgent,Trade,Medium,-0.167,28
weight loss supplement is expired,Product,Medium,0.0,24
Facing issue Seal was damaged,Packaging,Low,-0.5,71
I need help Seal was torn this is not acceptable urgent,Packaging,Medium,0.0,28
I want to complain Seal was torn,Packaging,Low,0.0,60
I want to complain vitamin tablets packaging was crushed even I think vitamin tablets is contaminated because I got allergy extremely upset respond fast,Packaging,High,-0.375,3
